cluster,name,category,rating,review_count,latitude,longitude,address
4.0,Patisserie La Cigogne,Desserts,3.6,111,43.68238,-79.32686,"['1419 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Thai Room,Malaysian,3.4,86,43.685379,-79.3130798,"['2063 Danforth Avenue', 'Toronto, ON M4C', 'Canada']"
4.0,Edie's Place Bar & Cafe,Bars,4.5,2,43.6861,-79.31217,"['2100 Danforth Avenue', 'Toronto, ON M4C 1J9', 'Canada']"
4.0,McDonald's,Fast Food,2.7,22,43.68384160258054,-79.3206336,"['1735 Danforth Avenue', 'Toronto, ON M4C 1H9', 'Canada']"
4.0,Fresh Paint Studio + Cafe,Cafes,4.6,5,43.68444228405591,-79.3176415935159,"['1849 Danforth Avenue', 'Toronto, ON M4C 1J3', 'Canada']"
4.0,T & M Sidewalk Cafe,Cafes,4.7,3,43.68245,-79.32896,"['1344 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,Sora Ethiopian Restaurant,Ethiopian,4.1,12,43.6821899,-79.3279037,"['1383 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,Tim Hortons,Coffee & Tea,2.7,7,43.68396,-79.32223,"['1630 Danforth Avenue', 'Toronto, ON M4C 1H6', 'Canada']"
4.0,Abugida Restaurant,Ethiopian,4.0,6,43.682344,-79.327652,"['1393 Danforth Avenue', 'Toronto, ON M4J 1N2', 'Canada']"
4.0,Pizzaiolo - The Pizza Maker's Pizza,Pizza,2.5,17,43.68331,-79.32476,"['1528 Danforth Avenue', 'Toronto, ON M4J 1N4', 'Canada']"
4.0,Maple Cafe,Ethiopian,3.7,3,43.6824952064987,-79.3298543617129,"['5 Linsmore Crescent', 'Toronto, ON M4J 4K7', 'Canada']"
4.0,Firkin On Danforth,Pubs,3.0,46,43.685332,-79.313329,"['2057B Danforth Avenue E', 'Toronto, ON M4C 1J8', 'Canada']"
4.0,Vita's Deli,Delis,0.0,0,43.6842,-79.32055,"['1702 Danforth Ave', 'Toronto, ON M4C 1H8', 'Canada']"
4.0,Subway,Sandwiches,2.7,7,43.68357,-79.32386,"['1568 Danforth Avenue', 'Toronto, ON M4J 1N8', 'Canada']"
