name,latitude,longitude,free_bikes,empty_slots
St. Clair Ave W / Caledonia Rd,43.67566643384946,-79.45393093300397,0,11
Exbury Rd / Jane St,43.729522486553826,-79.5101425092621,6,9
Armel Ct / Albion Rd,43.721532966873205,-79.5455834809678,3,13
Danforth Ave / Aldridge Ave,43.684758,-79.316767,6,5
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,8,15
Finch West Subway Station,43.76521,-79.491281,7,15
College St / Major St,43.6576,-79.4032,4,6
Bathurst St / Adelaide St W,43.645324,-79.40345,8,16
Ancaster Rd / Spalding Rd,43.73359486358252,-79.46651489022999,2,13
Front St W / Spadina Ave,43.64235480340359,-79.39519751877137,10,6
Bartley Park ,43.72211166436462,-79.30864830919265,2,13
Wilmington Ave / Kennard Ave,43.76115848103729,-79.4560000049282,5,6
Weston Rd / Lanyard Rd,43.748713,-79.541808,5,8
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,17,10
Metro Hall Plaza,43.645859,-79.38783,6,18
Annette St / Jane St,43.658574,-79.487246,6,8
Princes' Gates,43.63467323676012,-79.40897321886649,0,15
Gould St / Mutual St,43.6582,-79.3768,28,1
Bert Robinson Park,43.688028,-79.460265,2,13
Torresdale Ave / Finch Ave W,43.77245563489829,-79.45102085413427,12,6
Portland St / Queen St W,43.6476,-79.4015,3,7
Bay St / Wellesley St W,43.664088,-79.387095,6,26
Lansdowne Ave / Seaforth Ave ,43.642904395956684,-79.43746059447746,9,4
200 Bloor St E,43.671561,-79.38117,0,21
King St W / University Ave,43.64781808540915,-79.38427999073791,0,34
Fleming Cres / Bayview Ave,43.707045,-79.375437,3,12
Scarborough GO Station,43.7170472128686,-79.25461030789113,19,3
Eglinton Ave W / Venn Cres,43.69143920681119,-79.46908634795456,0,19
Bleecker St / St James Ave,43.669232,-79.374495,16,5
Spadina Rd / St. Clair Ave W,43.683979,-79.410657,0,15
Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,1,14
Eglinton West Subway Station,43.69867103968614,-79.43680738560357,1,18
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,8,19
Bloor St W / Dundas St W (2),43.64285244644315,-79.53199489206543,3,10
80 Clinton St,43.656296,-79.414663,3,12
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,4,21
Widmer St / Adelaide St W - SMART,43.647547634759206,-79.39155200496292,6,5
Pacific Ave / Glenlake Ave,43.65716,-79.46478,6,15
Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,6,17
Jane St / Woolner Ave (Woolner Park),43.67119618326082,-79.49337217955949,2,11
Beverley St / Dundas St W,43.652823,-79.393388,9,20
St. Clair Ave W / Winona Dr,43.680466,-79.432522,1,10
Concord Ave / Bloor St W,43.66189,-79.42679,0,14
Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,9,8
Lake Shore Blvd W / Legion Rd,43.62052630763223,-79.48320224237995,14,4
Morse St / Eastern Ave,43.657991,-79.340075,8,1
Temperance St Station,43.650945,-79.379498,3,51
Moss Park,43.655972,-79.370638,9,2
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,0,16
Gerrard St E / Nasmith Ave ,43.66273618779861,-79.36253100740966,3,18
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,9,8
Glencairn Subway Station,43.70925763810859,-79.44169105036657,6,8
Exhibition GO Station,43.6352007,-79.4187711,0,12
Wakunda Pl / O'Connor Dr,43.71602024377182,-79.3047092517501,3,6
